collection_no	occurrences.genus_reso	occurrences.genus_name	original.genus_reso	original.genus_name	collections.reference_no	collections.country	collections.state	collections.county	collections.latdec	collections.lngdec	collections.period	collections.10_my_bin	collections.ma_max	collections.ma_min
5195	"n. gen."	Pawpawsaurus		Nodosauridae	312	"United States"	Texas	Tarrant	32.866667	-97.3	Cretaceous	"Cretaceous 4"	112.000	99.600
10755		Chaoyangsaurus	"n. gen."	Chaoyangosaurus	13360	China	Liaoning	Chaoyang	42.9333	123.9667			150.800	136.400
10764	"n. gen."	Caudipteryx			19421	China	Liaoning		41.800000	120.733333	Cretaceous		130.000	112.000
10764	"n. gen."	Protarchaeopteryx			19421	China	Liaoning		41.800000	120.733333	Cretaceous		130.000	112.000
11582	"n. gen."	Gobiceratops			4173	Mongolia	Omnogov		43.3	99.6	Cretaceous		83.500	65.000
11582	"n. gen."	Platyceratops			4173	Mongolia	Omnogov		43.3	99.6	Cretaceous		83.500	65.000
11582		Saichania			4173	Mongolia	Omnogov		43.3	99.6	Cretaceous		83.500	65.000
11582	"n. gen."	Ingenia			4173	Mongolia	Omnogov		43.3	99.6	Cretaceous		83.500	65.000
11582		Tarchia			4173	Mongolia	Omnogov		43.3	99.6	Cretaceous		83.500	65.000
11604		Isisaurus		Titanosaurus	33029	India	Maharashtra	Chandrapur	21.183333	80.366667	Cretaceous	"Cretaceous 8"	70.600	65.000
11611	"n. gen."	Mymoorapelta			5767	"United States"	Colorado	Mesa	39.2383	-108.9958	Jurassic		155.700	145.500
11611		Camarasaurus			5767	"United States"	Colorado	Mesa	39.2383	-108.9958	Jurassic		155.700	145.500
11611		Diplodocus			5767	"United States"	Colorado	Mesa	39.2383	-108.9958	Jurassic		155.700	145.500
11611		Camarasaurus			5767	"United States"	Colorado	Mesa	39.2383	-108.9958	Jurassic		155.700	145.500
11611		Allosaurus		Allosaurus	5767	"United States"	Colorado	Mesa	39.2383	-108.9958	Jurassic		155.700	145.500
11611		Apatosaurus			5767	"United States"	Colorado	Mesa	39.2383	-108.9958	Jurassic		155.700	145.500
11611		Barosaurus			5767	"United States"	Colorado	Mesa	39.2383	-108.9958	Jurassic		155.700	145.500
11611		Ceratosaurus			5767	"United States"	Colorado	Mesa	39.2383	-108.9958	Jurassic		155.700	145.500
11890		Gorgosaurus		Gorgosaurus	36144	Canada	Alberta		50.740726	-111.52873	Cretaceous	"Cretaceous 7"	89.1	88.9
11893		Gorgosaurus		Gorgosaurus	33225	Canada	Alberta		50.737013	-111.549349	Cretaceous	"Cretaceous 7"	89.1	88.9
11894		Centrosaurus			16964	Canada	Alberta		50.737296	-111.528931	Cretaceous	"Cretaceous 7"	89.1	84.0
11895		Gorgosaurus		Gorgosaurus	33225	Canada	Alberta		50.723865	-111.564637	Cretaceous	"Cretaceous 7"	89.1	88.9
11896		Gorgosaurus		Gorgosaurus	33225	Canada	Alberta		50.740469	-111.525339	Cretaceous	"Cretaceous 7"	90.0	89.8
11897	"n. gen."	Gorgosaurus		Deinodon	17545	Canada	Alberta		50.787	-111.601018	Cretaceous	"Cretaceous 7"	89.1	88.9
11898		Albertosaurus		Laelaps	25123	Canada	Alberta		51.8046	-112.9819	Cretaceous	"Cretaceous 8"	70.600	65.000
11899		Albertosaurus			4205	Canada	Alberta		51.8191	-112.9819	Cretaceous		83.500	65.000
11900		Albertosaurus		Albertosaurus	12347	Canada	Alberta		51.5427	-112.8189	Cretaceous		83.500	65.000
11901	"n. gen."	Albertosaurus		Laelaps	25123	Canada	Alberta		51.4699	-112.8423	Cretaceous		83.500	65.000
11902		Albertosaurus			4205	Canada	Alberta		51.4408	-112.7022	Cretaceous		83.500	65.000
11903		Daspletosaurus			4205	Canada	Alberta		49.837	-110.682	Cretaceous	"Cretaceous 7"	83.500	70.600
11904		Daspletosaurus			4205	Canada	Alberta		50.7424	-111.5119	Cretaceous	"Cretaceous 7"	83.500	70.600
11915	"n. gen."	Daspletosaurus		Gorgosaurus	33225	Canada	Alberta		50.751525	-111.485007	Cretaceous	"Cretaceous 7"	83.500	70.600
11916		Daspletosaurus			4205	Canada	Alberta		51.9283	-112.9348	Cretaceous		83.500	65.000
11917		Tyrannosaurus	cf.	Tyrannosaurus	4205	Canada	Alberta		51.9064	-113.289	Cretaceous	"Cretaceous 8"	70.600	65.000
11918	cf.	Tyrannosaurus			4205	Canada	Alberta		51.933333	-113.233333	Cretaceous	"Cretaceous 8"	82.1	65.3
11919		Gryposaurus		Kritosaurus	4206	Canada	Alberta		52.933333	-115.216667	Cretaceous	"Cretaceous 7"	84.2	84.0
11923	"n. gen."	Amygdalodon			4208	Argentina	Chubut		-43.966667	-69.516667	Jurassic	"Jurassic 3"	180.100	171.600
11924		Camarasaurus			4209	"United States"	Colorado	Mesa	39.158889	-108.728333	Jurassic		155.700	145.500
11925		Camarasaurus			4209	"United States"	Colorado	Mesa	39.111667	-108.7175	Jurassic	"Jurassic 5"	155.700	150.800
11931	"n. gen."	Ankylosaurus			4210	"United States"	Montana	Garfield	47.6377	-106.5699	Cretaceous	"Cretaceous 8"	65.6	65.5
